Target,k,Original_Features,Reduced_Components,Cumulative_Explained
MMSE_Score,10,10,9,0.9755368
MMSE_Score,20,20,17,0.959126
MMSE_Score,30,30,24,0.953799
MMSE_Score,40,40,31,0.9510338
MMSE_Score,50,50,37,0.95251715
CardSort_Unadj,10,10,8,0.9584702
CardSort_Unadj,20,20,15,0.9545049
CardSort_Unadj,30,30,23,0.9554769
CardSort_Unadj,40,40,31,0.95555705
CardSort_Unadj,50,50,37,0.95090795
CardSort_AgeAdj,10,10,9,0.9769806
CardSort_AgeAdj,20,20,16,0.95506305
CardSort_AgeAdj,30,30,23,0.95056385
CardSort_AgeAdj,40,40,30,0.95184475
CardSort_AgeAdj,50,50,38,0.9539817
Flanker_Unadj,10,10,9,0.961498
Flanker_Unadj,20,20,17,0.9646834
Flanker_Unadj,30,30,25,0.9600733
Flanker_Unadj,40,40,32,0.95234925
Flanker_Unadj,50,50,39,0.9504704
Flanker_AgeAdj,10,10,9,0.97194296
Flanker_AgeAdj,20,20,17,0.96194214
Flanker_AgeAdj,30,30,25,0.96037966
Flanker_AgeAdj,40,40,33,0.95750666
Flanker_AgeAdj,50,50,39,0.9541143
WM_Task_Acc,10,10,9,0.9739549
WM_Task_Acc,20,20,17,0.96201646
WM_Task_Acc,30,30,25,0.9576998
WM_Task_Acc,40,40,33,0.9566675
WM_Task_Acc,50,50,40,0.9539153
ListSort_Unadj,10,10,9,0.9667789
ListSort_Unadj,20,20,17,0.95708376
ListSort_Unadj,30,30,25,0.9545339
ListSort_Unadj,40,40,32,0.95446295
ListSort_Unadj,50,50,39,0.95377326
ListSort_AgeAdj,10,10,9,0.9755851
ListSort_AgeAdj,20,20,17,0.9565411
ListSort_AgeAdj,30,30,25,0.95383453
ListSort_AgeAdj,40,40,32,0.9533867
ListSort_AgeAdj,50,50,40,0.9550414
SCPT_SEN,10,10,8,0.9731774
SCPT_SEN,20,20,16,0.96414095
SCPT_SEN,30,30,22,0.9544536
SCPT_SEN,40,40,29,0.9532454
SCPT_SEN,50,50,36,0.9526912
SCPT_SPEC,10,10,9,0.9651963
SCPT_SPEC,20,20,17,0.95988095
SCPT_SPEC,30,30,25,0.9598098
SCPT_SPEC,40,40,33,0.95793307
SCPT_SPEC,50,50,39,0.95168626
ProcSpeed_Unadj,10,10,9,0.9560977
ProcSpeed_Unadj,20,20,17,0.95810264
ProcSpeed_Unadj,30,30,24,0.952845
ProcSpeed_Unadj,40,40,32,0.9517175
ProcSpeed_Unadj,50,50,39,0.9528027
ProcSpeed_AgeAdj,10,10,9,0.95984495
ProcSpeed_AgeAdj,20,20,18,0.96836215
ProcSpeed_AgeAdj,30,30,25,0.95632863
ProcSpeed_AgeAdj,40,40,32,0.95466936
ProcSpeed_AgeAdj,50,50,39,0.95151025
ReadEng_Unadj,10,10,9,0.9712549
ReadEng_Unadj,20,20,17,0.9667342
ReadEng_Unadj,30,30,24,0.9516393
ReadEng_Unadj,40,40,31,0.9526123
ReadEng_Unadj,50,50,38,0.9508424
ReadEng_AgeAdj,10,10,9,0.9730269
ReadEng_AgeAdj,20,20,16,0.9526408
ReadEng_AgeAdj,30,30,24,0.95453787
ReadEng_AgeAdj,40,40,31,0.9526905
ReadEng_AgeAdj,50,50,38,0.95001125
PicVocab_Unadj,10,10,9,0.9820499
PicVocab_Unadj,20,20,16,0.9534048
PicVocab_Unadj,30,30,24,0.9560371
PicVocab_Unadj,40,40,32,0.95515335
PicVocab_Unadj,50,50,38,0.95076674
PicVocab_AgeAdj,10,10,9,0.9714843
PicVocab_AgeAdj,20,20,16,0.9566866
PicVocab_AgeAdj,30,30,23,0.9529977
PicVocab_AgeAdj,40,40,30,0.9505135
PicVocab_AgeAdj,50,50,38,0.953054
Language_Task_Acc,10,10,9,0.9612313
Language_Task_Acc,20,20,16,0.95502865
Language_Task_Acc,30,30,24,0.9561792
Language_Task_Acc,40,40,32,0.9552981
Language_Task_Acc,50,50,39,0.95226806
