Target,Best Model,Best R²,R² Std Dev,Best Parameters
Flanker_AgeAdj,Ridge,0.1713,0.0379,{'alpha': 215.44346900318823}
Flanker_Unadj,Ridge,0.1437,0.0584,{'alpha': 215.44346900318823}
ProcSpeed_Unadj,Ridge,0.1295,0.0435,{'alpha': 215.44346900318823}
ReadEng_Unadj,Ridge,0.1261,0.0252,{'alpha': 215.44346900318823}
ReadEng_AgeAdj,Ridge,0.1174,0.0297,{'alpha': 215.44346900318823}
ListSort_Unadj,Ridge,0.117,0.0565,{'alpha': 215.44346900318823}
CardSort_AgeAdj,Ridge,0.1162,0.032,{'alpha': 215.44346900318823}
CardSort_Unadj,Ridge,0.1128,0.0594,{'alpha': 215.44346900318823}
ProcSpeed_AgeAdj,Ridge,0.1077,0.0402,{'alpha': 215.44346900318823}
WM_Task_Acc,Ridge,0.1052,0.0408,{'alpha': 215.44346900318823}
PicVocab_Unadj,Ridge,0.1033,0.0568,{'alpha': 46.41588833612773}
Language_Task_Acc,Ridge,0.103,0.0442,{'alpha': 215.44346900318823}
ListSort_AgeAdj,Ridge,0.1028,0.0441,{'alpha': 215.44346900318823}
PicVocab_AgeAdj,Lasso,0.0826,0.0183,{'alpha': 0.2682695795279725}
MMSE_Score,Ridge,0.074,0.0283,{'alpha': 1000.0}
SCPT_SEN,Ridge,0.0721,0.0415,{'alpha': 1000.0}
SCPT_SPEC,Ridge,0.0444,0.0535,{'alpha': 215.44346900318823}
